acctype,accsize,acctargets,district,month,sales,qty,strategy1,strategy2,strategy3,salesvisit1,salesvisit2,salesvisit3,salesvisit4,salesvisit5,compbrand
Pharmacy,700,25,3,2013-10-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
Pharmacy,700,25,3,2013-11-01,852365,8,0,0,0,0.0,0.0,0.0,0.0,75000.0,4
Pharmacy,700,25,3,2013-12-01,2557096,25,0,0,0,0.0,0.0,0.0,0.0,0.0,4
Pharmacy,700,25,3,2014-01-01,4261826,41,0,0,0,0.0,825000.0,300000.0,0.0,0.0,4
Pharmacy,700,25,3,2014-02-01,5966556,57,0,0,0,0.0,0.0,0.0,0.0,0.0,4
Pharmacy,700,25,3,2014-03-01,6818921,66,0,0,0,0.0,1050000.0,75000.0,0.0,0.0,4
Pharmacy,700,25,3,2014-04-01,4261826,41,0,0,0,0.0,1050000.0,600000.0,0.0,0.0,4
Pharmacy,700,25,3,2014-05-01,4261826,41,0,161910,0,0.0,825000.0,825000.0,0.0,0.0,4
Pharmacy,700,25,3,2014-06-01,4261826,41,89256,300096,0,0.0,600000.0,975000.0,0.0,0.0,4
Pharmacy,700,25,3,2014-07-01,6818921,66,0,154632,0,0.0,600000.0,1050000.0,0.0,0.0,4
Pharmacy,700,25,3,2014-08-01,4261826,41,0,1956801,0,0.0,450000.0,750000.0,0.0,0.0,4
Pharmacy,700,25,3,2014-09-01,4261826,41,0,107426,0,0.0,375000.0,1050000.0,0.0,0.0,4
Pharmacy,700,25,3,2014-10-01,3409461,33,0,187263,0,0.0,300000.0,1875000.0,0.0,0.0,4
Pharmacy,700,25,3,2014-11-01,4261826,41,0,106600,0,0.0,450000.0,1125000.0,0.0,0.0,4
Pharmacy,700,25,3,2014-12-01,6818921,66,0,0,0,0.0,375000.0,1350000.0,0.0,0.0,4
Pharmacy,700,25,3,2015-01-01,5966556,57,0,152712,0,0.0,450000.0,1275000.0,0.0,0.0,4
Pharmacy,700,25,3,2015-02-01,3409461,33,0,160000,0,0.0,375000.0,1125000.0,0.0,0.0,4
Pharmacy,700,25,3,2015-03-01,8523652,82,0,159600,0,0.0,600000.0,1950000.0,0.0,0.0,4
Pharmacy,700,25,3,2015-04-01,8523652,82,0,224500,0,0.0,450000.0,1800000.0,0.0,0.0,4
Pharmacy,700,25,3,2015-05-01,16194938,156,0,1553326,0,0.0,300000.0,1575000.0,0.0,0.0,4
Pharmacy,700,25,3,2015-06-01,11933113,115,0,115380,0,0.0,375000.0,1950000.0,0.0,0.0,5
Pharmacy,700,25,3,2015-07-01,12785478,123,0,416114,0,0.0,450000.0,2475000.0,0.0,0.0,5
Pharmacy,700,25,3,2015-08-01,11933113,115,0,460359,0,0.0,225000.0,1575000.0,0.0,0.0,5
Pharmacy,700,25,3,2015-09-01,17047304,164,0,287126,0,0.0,300000.0,1425000.0,0.0,0.0,5
Hospital,790,24,3,2013-10-01,0,0,0,0,0,0.0,450000.0,75000.0,75000.0,0.0,4
Hospital,790,24,3,2013-11-01,0,0,0,0,0,75000.0,600000.0,150000.0,300000.0,0.0,4
Hospital,790,24,3,2013-12-01,0,0,0,0,0,150000.0,525000.0,75000.0,150000.0,0.0,4
Hospital,790,24,3,2014-01-01,0,0,0,0,0,75000.0,450000.0,375000.0,150000.0,0.0,4
Hospital,790,24,3,2014-02-01,0,0,0,0,0,75000.0,900000.0,525000.0,0.0,0.0,4
Hospital,790,24,3,2014-03-01,0,0,165426,170760,0,0.0,525000.0,1125000.0,0.0,0.0,4
Hospital,790,24,3,2014-04-01,8097469,66,141900,253125,0,0.0,300000.0,1425000.0,0.0,0.0,4
Hospital,790,24,3,2014-05-01,17047304,164,71100,565398,0,0.0,300000.0,975000.0,0.0,0.0,4
Hospital,790,24,3,2014-06-01,11080747,107,388385,225000,0,0.0,225000.0,1125000.0,0.0,0.0,4
Hospital,790,24,3,2014-07-01,11933113,115,47640,0,0,0.0,525000.0,900000.0,0.0,0.0,4
Hospital,790,24,3,2014-08-01,12785478,123,0,642456,0,0.0,300000.0,1500000.0,0.0,0.0,4
Hospital,790,24,3,2014-09-01,12785478,123,0,0,0,75000.0,675000.0,1425000.0,0.0,0.0,4
Hospital,790,24,3,2014-10-01,11933113,115,322360,1208887,0,150000.0,1650000.0,1125000.0,75000.0,0.0,4
Hospital,790,24,3,2014-11-01,16194938,156,0,0,0,150000.0,1650000.0,1650000.0,0.0,0.0,4
Hospital,790,24,3,2014-12-01,17899669,172,69055,0,0,0.0,525000.0,450000.0,150000.0,0.0,4
Hospital,790,24,3,2015-01-01,21309130,205,0,0,0,0.0,525000.0,975000.0,75000.0,0.0,4
Hospital,790,24,3,2015-02-01,21309130,205,0,0,0,375000.0,975000.0,300000.0,0.0,0.0,4
Hospital,790,24,3,2015-03-01,18752034,180,136712,625776,0,150000.0,1800000.0,300000.0,0.0,0.0,4
Hospital,790,24,3,2015-04-01,32389877,312,209674,1354200,0,75000.0,1275000.0,300000.0,0.0,0.0,4
Hospital,790,24,3,2015-05-01,28128051,271,30000,0,0,0.0,1875000.0,150000.0,75000.0,0.0,4
Hospital,790,24,3,2015-06-01,25570955,246,70000,0,0,0.0,750000.0,225000.0,0.0,0.0,5
Hospital,790,24,3,2015-07-01,29832781,287,252104,798300,0,75000.0,1050000.0,375000.0,150000.0,0.0,5
Hospital,790,24,3,2015-08-01,37504068,361,0,1081875,0,0.0,1725000.0,450000.0,0.0,0.0,5
Hospital,790,24,3,2015-09-01,33242242,320,0,1276532,0,0.0,0.0,0.0,0.0,0.0,5
Hospital,320,14,3,2013-10-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
Hospital,320,14,3,2013-11-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
Hospital,320,14,3,2013-12-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
Hospital,320,14,3,2014-01-01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
Hospital,320,14,3,2014-02-01,0,0,0,0,0,0.0,0.0,675000.0,0.0,0.0,4
Hospital,320,14,3,2014-03-01,0,0,165426,819885,0,0.0,225000.0,525000.0,75000.0,0.0,4
Hospital,320,14,3,2014-04-01,0,0,0,0,0,0.0,150000.0,750000.0,0.0,0.0,4
Hospital,320,14,3,2014-05-01,0,0,0,0,0,0.0,300000.0,450000.0,0.0,0.0,4
Hospital,320,14,3,2014-06-01,0,0,153831,0,0,0.0,300000.0,525000.0,0.0,0.0,4
Hospital,320,14,3,2014-07-01,9376017,66,5955,0,0,0.0,150000.0,600000.0,0.0,0.0,4
Hospital,320,14,3,2014-08-01,6392739,49,0,1848470,0,0.0,825000.0,450000.0,0.0,0.0,4
